index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
2597,Netherlands,Belgium,0.99,0.99,0.99,194,162,3,1,2.5,Win
2598,Poland,Hungary,0.99,0.99,0.99,147,128,1,0,1,Win
2599,Slovenia,Greece,0.99,0.99,0.99,105,154,0,3,2.5,Lose
2600,Sri Lanka,Pakistan,0.85,0.85,0.85,63,50,2,0,1,Win
2601,Switzerland,Finland,0.99,0.99,0.99,136,135,1,2,2.5,Lose
2602,India,Bangladesh,0.85,0.85,0.85,82,62,3,0,1,Win
2603,Jamaica,Canada,0.85,0.85,0.85,163,152,1,0,2.5,Win
2604,Japan,Uzbekistan,0.85,0.85,0.85,183,117,6,3,2.5,Win
2605,Luxembourg,Cyprus,0.99,0.99,0.99,65,116,1,3,2.5,Lose
2606,Scotland,Belarus,0.99,0.99,0.99,174,97,4,1,2.5,Win
2607,USA,Costa Rica,0.85,0.85,0.85,172,144,1,0,2.5,Win
2608,Nepal,Sri Lanka,0.85,0.85,0.85,50,63,1,3,1,Lose
2609,Maldives,India,0.85,0.85,0.85,50,82,2,2,1,Draw
2610,Albania,Northern Ireland,0.99,0.99,0.99,76,129,1,0,2.5,Win
2611,Belarus,Austria,0.99,0.99,0.99,97,156,0,1,2.5,Lose
2612,Bosnia and Herzegovina,Slovenia,0.99,0.99,0.99,83,105,1,0,2.5,Win
2613,Brazil,Ecuador,1,1,1,200,171,4,2,1,Win
2614,Bulgaria,Russia,0.99,0.99,0.99,178,195,1,0,2.5,Win
2615,Chile,Argentina,1,1,1,177,187,1,2,2.5,Lose
2616,Colombia,Venezuela,1,1,1,190,91,1,0,2.5,Win
2617,Denmark,Croatia,0.99,0.99,0.99,197,167,3,1,2.5,Win
2618,England,Moldova,0.99,0.99,0.99,193,73,4,0,2.5,Win
2619,Georgia,Italy,0.99,0.99,0.99,101,192,0,0,2.5,Draw
2620,Germany,Armenia,0.99,0.99,0.99,196,92,4,0,2.5,Win
2621,Hungary,Azerbaijan,0.99,0.99,0.99,128,74,3,1,2.5,Win
2622,Lithuania,Republic of Ireland,0.99,0.99,0.99,158,145,1,2,2.5,Lose
2623,Norway,Switzerland,0.99,0.99,0.99,185,136,5,0,2.5,Win
2624,Paraguay,Bolivia,1,1,1,173,182,2,1,2.5,Win
2625,Peru,Uruguay,1,1,1,164,150,2,1,2.5,Win
2626,Romania,Iceland,0.99,0.99,0.99,188,112,4,0,2.5,Win
2627,San Marino,Turkey,0.99,0.99,0.99,50,148,0,5,2.5,Lose
2628,Sri Lanka,Maldives,0.85,0.85,0.85,63,50,1,2,1,Lose
2629,Sweden,Latvia,0.99,0.99,0.99,175,126,1,0,2.5,Win
2630,India,Pakistan,0.85,0.85,0.85,82,50,2,0,1,Win
2631,Korea Republic,Uzbekistan,0.85,0.85,0.85,166,117,2,1,2.5,Win
2632,United Arab Emirates,Kazakhstan,0.85,0.99,0.92,134,78,4,0,2.5,Win
2633,China PR,IR Iran,0.85,0.85,0.85,142,140,2,4,2.5,Lose
2634,India,Maldives,0.85,0.85,0.85,82,50,5,1,1,Win
2635,Pakistan,Sri Lanka,0.85,0.85,0.85,50,63,1,0,1,Win
2636,El Salvador,Canada,0.85,0.85,0.85,127,152,4,1,2.5,Win
2637,Indonesia,Tanzania,0.85,0.85,0.85,93,106,3,1,1,Win
2638,Jamaica,Costa Rica,0.85,0.85,0.85,163,144,1,0,2.5,Win
2639,Saudi Arabia,Kuwait,0.85,0.85,0.85,165,149,2,1,2.5,Win
2640,IR Iran,Saudi Arabia,0.85,0.85,0.85,147,162,1,1,2.5,Draw
2641,Qatar,Kuwait,0.85,0.85,0.85,115,151,0,2,2.5,Lose
2642,United Arab Emirates,Japan,0.85,0.85,0.85,133,182,0,0,2.5,Draw
2643,Kazakhstan,Uzbekistan,0.99,0.85,0.92,79,118,1,1,2.5,Draw
2644,Libya,Bahrain,0.85,0.85,0.85,50,87,2,1,1,Win
2645,Indonesia,New Zealand,0.85,0.85,0.85,91,85,5,0,1,Win
2646,El Salvador,Guatemala,0.85,0.85,0.85,127,110,0,1,1,Lose
2647,Malta,Czech Republic,0.99,0.99,0.99,73,186,0,1,2.5,Lose
2648,Moldova,Georgia,0.99,0.99,0.99,75,106,0,1,2.5,Lose
2649,Poland,Lithuania,0.99,0.99,0.99,150,157,2,0,1,Win
2650,Slovakia,Spain,0.99,0.99,0.99,178,194,1,2,2.5,Lose
2651,Bahrain,Chad,0.85,0.85,0.85,87,50,1,1,1,Draw
2652,Libya,Jordan,0.85,0.85,0.85,50,77,1,1,1,Draw
2653,Saudi Arabia,Mali,0.85,0.85,0.85,162,123,5,1,1,Win
2654,Kuwait,IR Iran,0.85,0.85,0.85,151,147,1,1,2.5,Draw
2655,Qatar,China PR,0.85,0.85,0.85,115,142,1,1,2.5,Draw
2656,Tanzania,Zambia,0.85,0.85,0.85,107,181,0,0,1,Draw
2657,Uzbekistan,United Arab Emirates,0.85,0.85,0.85,118,133,2,3,2.5,Lose
2658,Algeria,Kenya,0.85,0.85,0.85,149,101,0,1,1,Lose
